Type,No.,Address,City,St.,Opened,Closed
Discount Store,2070,3101 A Street,Anchorage,AK,"March 29, 1994","November 8, 2011"
Supercenter,2070,3101 A Street,Anchorage,AK,"November 9, 2011",
Discount Store,2071,8900 Old Seward Highway,Anchorage,AK,"March 29, 1994","October 27, 2009"
Supercenter,2071,8900 Old Seward Highway,Anchorage,AK,"October 28, 2009",
Supercenter,4359,7405 Debarr Road,Anchorage,AK,"September 25, 2013",
Discount Store,2188,18600 Eagle River Road,Eagle River,AK,"April 26, 2000","November 11, 2008"
Supercenter,2188,18600 Eagle River Road,Eagle River,AK,"November 12, 2008",
Discount Store,2722,537 Johansen Expressway,Fairbanks,AK,"April 28, 2004","June 24, 2008"
Supercenter,2722,537 Johansen Expressway,Fairbanks,AK,"June 25, 2008",
Supercenter,3814,6525 Glacier Highway,Juneau,AK,"September 12, 2007","February 5, 2016"
Supercenter,4474,10096 Kenai Spur Highway,Kenai,AK,"March 31, 2010",
Discount Store,2710,4230 Don King Road,Ketchikan,AK,"March 21, 2001",
Discount Store,2711,2911 Mill Bay Road,Kodiak,AK,"March 31, 1999",
Discount Store,2074,1000 South Seward Meridian Parkway,Wasilla,AK,"March 29, 1994","March 28, 2000"
Discount Store,2074,1350 South Seward Meridian Parkway,Wasilla,AK,"March 29, 2000","October 30, 2007"
Supercenter,2074,1350 South Seward Meridian Parkway,Wasilla,AK,"October 31, 2007",
Neighborhood Market,2186,407 West Washington Street,Abbeville,AL,"November 19, 2014","January 28, 2016"
Discount Store,1158,2000 Forestdale Boulevard,Adamsville,AL,"March 1, 1988","April 13, 2004"
Supercenter,1158,2473 Hackworth Road,Adamsville,AL,"April 14, 2004",
Supercenter,423,"Propst Promenade, 630 Colonial Promenade Parkway",Alabaster,AL,"August 24, 2005",
Neighborhood Market,4756,9085 Highway 119,Alabaster,AL,"September 30, 2015",
Discount Store,726,1636 Mill Square,Alexander City,AL,"July 4, 1981","November 3, 1987"
Discount Store,726,"Marketplace Shopping Center, 1102 Highway 280 Bypass",Alexander City,AL,"November 4, 1987",March 1996
Supercenter,726,2643 Highway 280 West,Alexander City,AL,March 1996,
Discount Store,1091,540 West Bypass,Andalusia,AL,"October 1, 1987","October 17, 2006"
Supercenter,1091,1991 Martin Luther King Jr. Expressway,Andalusia,AL,"October 18, 2006",
Discount Store,329,"Anniston Plaza, 3200 McClellan Boulevard",Anniston,AL,"April 15, 1980","August 18, 1992"
Discount Store,329,"Central Park, 5560 McClellan Boulevard",Anniston,AL,"August 19, 1992","September 6, 2005"
Supercenter,329,"Central Park, 5560 McClellan Boulevard",Anniston,AL,"September 7, 2005",
Discount Store,306,1077 North Brindlee Mountain Parkway,Arab,AL,"February 26, 1980","April 15, 2003"
Supercenter,306,1450 North Brindlee Mountain Parkway,Arab,AL,"April 16, 2003",
Neighborhood Market,2011,18 Apple Way,Ashford,AL,"November 5, 2014","January 28, 2016"
Discount Store,661,"Athens Shopping Center, 600 South Jefferson Street",Athens,AL,"July 4, 1981","June 29, 1988"
Discount Store,661,603 Highway 72 West,Athens,AL,"June 30, 1988","April 23, 1996"
Supercenter,661,1011 US Highway 72 East,Athens,AL,"April 24, 1996",
Supercenter,7247,911 North Main Street,Atmore,AL,"August 6, 2014",
Discount Store,316,1431 3rd Street,Attalla,AL,"November 18, 1980","August 24, 2004"
Supercenter,316,973 Gilbert Ferry Road Southeast,Attalla,AL,"August 25, 2004",
Discount Store,356,1655 South College Street,Auburn,AL,"September 1, 1981","September 19, 2000"
Supercenter,356,1717 South College Street,Auburn,AL,"September 20, 2000",
Neighborhood Market,4673,1810 Shug Jordan Parkway,Auburn,AL,"January 27, 2016",
Neighborhood Market,5062,2047 East University Drive,Auburn,AL,"January 13, 2016",
Supercenter,2739,701 McMeans Avenue,Bay Minette,AL,"August 18, 1999",
Discount Store,764,520 West Town Plaza,Bessemer,AL,"November 13, 1984","October 24, 1995"
Supercenter,764,750 Academy Drive,Bessemer,AL,"October 25, 1995",
Discount Store,762,"East Town Plaza, 1189 Huffman Road",Birmingham,AL,"November 13, 1984","January 27, 2004"
Supercenter,762,9248 Parkway East,Birmingham,AL,"January 28, 2004",
Supercenter,1711,1600 Montclair Road,Birmingham,AL,"October 24, 2007",
Discount Store,2111,5291 Highway 280 South,Birmingham,AL,"July 26, 1994","April 16, 2002"
Neighborhood Market,3424,2653 Valleydale Road,Birmingham,AL,"January 28, 2015",
Neighborhood Market,4504,312 Palisades Boulevard,Birmingham,AL,"April 25, 2007",
Neighborhood Market,5100,1916 Center Point Parkway,Birmingham,AL,"January 15, 2003",
Discount Store,298,1860 US Highway 431,Boaz,AL,"August 12, 1980",1987
Discount Store,298,2081 US Highway 431,Boaz,AL,1987,"March 18, 2003"
Supercenter,298,1972 US Highway 431,Boaz,AL,"March 19, 2003",
Discount Store,425,30 Walnut Street,Brent,AL,"August 3, 1982","October 23, 2007"
Supercenter,425,10675 Highway 5,Brent,AL,"October 24, 2007",
Discount Store,1620,"Douglas Square, 2041 Douglas Avenue",Brewton,AL,"November 14, 1990","October 28, 2008"
Supercenter,1620,2578 Douglas Avenue,Brewton,AL,"October 29, 2008",
Supercenter,3271,5100 Highway 31,Calera,AL,"June 20, 2001",
Supercenter,5126,1950 West Main Street,Centre,AL,"August 20, 2003",
Supercenter,4330,16077 Highway 280,Chelsea,AL,"June 13, 2007",
Discount Store,424,610 7th Street South,Clanton,AL,"August 3, 1982",June 1994
Supercenter,424,1415 7th Street South,Clanton,AL,June 1994,
Discount Store,670,1619 Town Square Southwest,Cullman,AL,"July 4, 1981",1986
Discount Store,670,1656 Town Square Southwest,Cullman,AL,1986,1990
Discount Store,670,1700 2nd Avenue Southwest,Cullman,AL,1990,"April 16, 2002"
Supercenter,670,626 Olive Street Southwest,Cullman,AL,"April 17, 2002",
Supercenter,7280,5601 Highway 157,Cullman,AL,"November 11, 2015",
Discount Store,934,"Magnolia Place Shopping Center, 27955 Highway 98",Daphne,AL,"July 15, 1986","April 25, 1995"
Supercenter,934,27520 Highway 98,Daphne,AL,"April 26, 1995",
Discount Store,662,"Southland Plaza, 2019 6th Avenue",Decatur,AL,"July 23, 1981","July 19, 1982"
Discount Store,662,"Beltline Plaza, 1682 Beltline Road Southwest",Decatur,AL,"July 20, 1982","March 17, 1992"
Discount Store,662,1605 Beltline Road Southwest,Decatur,AL,"March 18, 1992","October 24, 2000"
Supercenter,662,"English Village Shopping Center, 2800 Spring Avenue Southwest",Decatur,AL,"October 25, 2000",
Neighborhood Market,2488,1203 6th Avenue Southeast,Decatur,AL,"April 19, 2013",
Discount Store,731,"Wal-Mart Plaza, 1620 US Highway 80 East",Demopolis,AL,"July 4, 1981",January 1997
Discount Store,731,505 US Highway 80 West,Demopolis,AL,January 1997,"January 22, 2006"
Supercenter,731,969 US Highway 80 West,Demopolis,AL,"January 23, 2006",
Discount Store,604,"Northside Mall, 3489 Ross Clark Circle",Dothan,AL,"November 15, 1983","October 15, 2002"
Supercenter,604,4310 Montgomery Highway,Dothan,AL,"October 16, 2002",
Supercenter,2534,3300 South Oates Street,Dothan,AL,"May 21, 1997",
Neighborhood Market,5769,3871 West Main Street,Dothan,AL,"March 16, 2016",
Discount Store,734,"Enterprise Shopping Center, 630 Boll Weevil Circle",Enterprise,AL,"July 4, 1981","April 13, 1993"
Supercenter,734,600 Boll Weevil Circle,Enterprise,AL,"April 14, 1993",
Discount Store,1638,1252 South Eufaula Avenue,Eufaula,AL,"November 14, 1990","March 9, 2010"
Supercenter,1638,3176 South Eufaula Avenue,Eufaula,AL,"March 10, 2010",
Discount Store,763,"Belleview Plaza West, 7100 Aaron Aronov Drive",Fairfield,AL,"November 13, 1984","September 19, 2006"
Supercenter,763,7201 Aaron Aronov Drive,Fairfield,AL,"September 20, 2006","January 28, 2016"
Supercenter,4333,10040 County Road 48,Fairhope,AL,"July 18, 2007",
Discount Store,1052,1610 Temple Avenue,Fayette,AL,"February 3, 1987","June 15, 1999"
Supercenter,1052,3186 Highway 171 North,Fayette,AL,"June 16, 1999",
Discount Store,766,"Wal-Mart Plaza, 356 Cox Creek Parkway",Florence,AL,"November 13, 1984","March 26, 1996"
Supercenter,766,3100 Hough Road,Florence,AL,"March 27, 1996",
Supercenter,4187,2701 Cloverdale Road,Florence,AL,"January 15, 2014",
Neighborhood Market,4188,1410 Florence Boulevard,Florence,AL,"June 12, 2013",
Discount Store,904,1100 South McKenzie Street,Foley,AL,"January 21, 1986","October 19, 1993"
Supercenter,904,2200 South McKenzie Street,Foley,AL,"October 20, 1993",
Discount Store,691,"DeKalb Plaza, 100 DeKalb Plaza Boulevard",Fort Payne,AL,"July 4, 1981",October 1996
Supercenter,691,2001 Glenn Boulevard Southwest,Fort Payne,AL,October 1996,
Discount Store,301,3000 East Meighan Boulevard,Gadsden,AL,"August 12, 1980",November 1990
Discount Store,301,401 George Wallace Drive,Gadsden,AL,November 1990,"April 12, 2005"
Supercenter,301,340 East Meighan Boulevard,Gadsden,AL,"April 13, 2005",
Discount Store,1201,655 Fieldstown Road,Gardendale,AL,"August 6, 1988","May 20, 2003"
Supercenter,1201,890 Odum Road,Gardendale,AL,"May 21, 2003",
Discount Store,1063,1608 West Magnolia Avenue,Geneva,AL,"September 1, 1987",
Neighborhood Market,3769,3530 Cathedral Caverns Highway,Grant,AL,"November 12, 2014","January 28, 2016"
Discount Store,1462,129 Interstate Drive,Greenville,AL,"April 30, 1990","August 24, 2004"
Supercenter,1462,501 Willow Lane,Greenville,AL,"August 25, 2004",
Supercenter,2748,170 Fort Morgan Road,Gulf Shores,AL,"July 21, 2004",
Discount Store,681,"Southgate Plaza, 14300 US Highway 431",Guntersville,AL,"July 4, 1981","February 20, 1996"
Supercenter,681,11697 US Highway 431,Guntersville,AL,"February 21, 1996",
Neighborhood Market,2235,6361 Highway 72 East,Gurley,AL,"December 3, 2014","January 28, 2016"
Discount Store,409,42417 Highway 195,Haleyville,AL,"October 13, 1981","May 7, 2013"
Supercenter,409,42466 Highway 195,Haleyville,AL,"May 8, 2013",
Discount Store,1100,1500 Military Street South,Hamilton,AL,"December 31, 1987","July 17, 2007"
Supercenter,1100,1706 Military Street South,Hamilton,AL,"July 18, 2007",
Discount Store,1124,"Town & Country Plaza, 800 Highway 31 Southwest",Hartselle,AL,"October 1, 1987","September 9, 1997"
Supercenter,1124,1201 Highway 31 Northwest,Hartselle,AL,"September 10, 1997",
Supercenter,6878,14595 North Highway 231/432 North,Hazel Green,AL,"March 11, 2015",
