"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46103","0","10","70","0","1990","A","","Pennington County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2833,37178,632558260,0,0,327,17014,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",15,0.5,2288,6.6,63606081,11.2,-183371453,-100.0,-808111,-100.0,14,4.5,707,4.3
"46103","1","10","71","0","1990","A","","Pennington County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",39,2008,49418824,0,0,473,24606,"",1.81,1.82,2.06,0.00,0.00,1.13,1.13,"",1,2.6,31,1.6,3612460,7.9,0,0.0,0,0.0,28,6.3,1437,6.2
"46103","1","102","72","0","1990","A","","Pennington County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",39,2008,49418824,0,0,473,24606,"",1.82,1.90,2.15,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","1021","73","0","1990","A","","Pennington County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,437,9461848,0,0,417,21664,"",0.61,1.33,1.29,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","1023","73","0","1990","A","","Pennington County, South Dakota","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,13,335204,0,0,483,25140,"",2.31,1.05,1.19,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","1024","73","0","1990","A","","Pennington County, South Dakota","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,10,385437,0,0,729,37912,"",2.01,0.41,0.74,0.00,0.00,1.76,1.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","1025","73","0","1990","A","","Pennington County, South Dakota","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,149,4373701,0,0,564,29354,"",9.13,1.65,2.18,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","1026","73","0","1990","A","","Pennington County, South Dakota","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,27,705738,0,0,503,26138,"",2.45,1.20,2.97,0.00,0.00,2.47,2.47,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","1028","73","0","1990","A","","Pennington County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",28,1372,34156896,0,0,479,24893,"",2.51,2.41,2.74,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","44-45","74","0","1990","A","","Pennington County, South Dakota","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,189,1645242,0,0,168,8717,"",7.33,8.08,7.81,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","452","75","0","1990","A","","Pennington County, South Dakota","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,189,1645242,0,0,168,8717,"",8.78,8.65,8.97,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","4521","76","0","1990","A","","Pennington County, South Dakota","Federal Government","Department stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,189,1645242,0,0,168,8717,"",19.29,15.19,15.80,0.00,0.00,1.05,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","45211","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Department stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,189,1645242,0,0,168,8717,"",19.29,15.19,15.80,0.00,0.00,1.05,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","452112","78","0","1990","A","","Pennington County, South Dakota","Federal Government","Discount department stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,189,1645242,0,0,168,8717,"",48.66,40.79,40.48,0.00,0.00,1.00,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","48-49","74","0","1990","A","","Pennington County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,248,7816606,0,0,606,31519,"",0.50,0.83,1.13,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","491","75","0","1990","A","","Pennington County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,248,7816606,0,0,606,31519,"",0.51,0.88,1.20,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","4911","76","0","1990","A","","Pennington County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,248,7816606,0,0,606,31519,"",0.51,0.88,1.20,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","49111","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,248,7816606,0,0,606,31519,"",0.51,0.88,1.20,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","491110","78","0","1990","A","","Pennington County, South Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,248,7816606,0,0,606,31519,"",0.51,0.88,1.20,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","52","74","0","1990","A","","Pennington County, South Dakota","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,13,335204,0,0,483,25140,"",2.32,1.07,1.20,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","522","75","0","1990","A","","Pennington County, South Dakota","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,13,335204,0,0,483,25140,"",2.70,2.84,4.06,0.00,0.00,1.40,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","5222","76","0","1990","A","","Pennington County, South Dakota","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,13,335204,0,0,483,25140,"",2.70,2.84,4.07,0.00,0.00,1.40,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","52229","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,13,335204,0,0,483,25140,"",2.70,2.84,4.07,0.00,0.00,1.40,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","522298","78","0","1990","A","","Pennington County, South Dakota","Federal Government","All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,13,335204,0,0,483,25140,"",8.45,8.73,12.04,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","54","74","0","1990","A","","Pennington County, South Dakota","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,10,385437,0,0,729,37912,"",2.06,0.43,0.75,0.00,0.00,1.72,1.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","541","75","0","1990","A","","Pennington County, South Dakota","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,385437,0,0,729,37912,"",2.06,0.43,0.75,0.00,0.00,1.72,1.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","5419","76","0","1990","A","","Pennington County, South Dakota","Federal Government","Other professional and technical services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,385437,0,0,729,37912,"",7.90,4.63,7.75,0.00,0.00,1.65,1.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","54199","77","0","1990","A","","Pennington County, South Dakota","Federal Government","All other professional and technical services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,385437,0,0,729,37912,"",8.11,4.88,7.91,0.00,0.00,1.60,1.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","541990","78","0","1990","A","","Pennington County, South Dakota","Federal Government","All other professional and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,10,385437,0,0,729,37912,"",8.11,4.88,7.91,0.00,0.00,1.60,1.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","62","74","0","1990","A","","Pennington County, South Dakota","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,149,4373701,0,0,564,29354,"",9.98,1.73,2.26,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","622","75","0","1990","A","","Pennington County, South Dakota","Federal Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,149,4373701,0,0,564,29354,"",15.98,1.78,2.32,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","6221","76","0","1990","A","","Pennington County, South Dakota","Federal Government","General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,146,4239932,0,0,558,29041,"",8.36,1.81,2.33,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","62211","77","0","1990","A","","Pennington County, South Dakota","Federal Government","General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,146,4239932,0,0,558,29041,"",8.36,1.81,2.33,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","622110","78","0","1990","A","","Pennington County, South Dakota","Federal Government","General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,146,4239932,0,0,558,29041,"",8.36,1.81,2.33,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","71","74","0","1990","A","","Pennington County, South Dakota","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,27,705738,0,0,503,26138,"",3.96,1.91,4.00,0.00,0.00,2.10,2.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","712","75","0","1990","A","","Pennington County, South Dakota","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,27,705738,0,0,503,26138,"",6.05,3.64,5.81,0.00,0.00,1.60,1.60,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","7121","76","0","1990","A","","Pennington County, South Dakota","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,27,705738,0,0,503,26138,"",6.05,3.64,5.81,0.00,0.00,1.60,1.60,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","71219","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,27,705738,0,0,503,26138,"",6.86,5.24,9.12,0.00,0.00,1.74,1.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","712190","78","0","1990","A","","Pennington County, South Dakota","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,27,705738,0,0,503,26138,"",6.86,5.24,9.12,0.00,0.00,1.74,1.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","92","74","0","1990","A","","Pennington County, South Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",28,1372,34156896,0,0,479,24893,"",2.51,2.41,2.74,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","921","75","0","1990","A","","Pennington County, South Dakota","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,30,967901,0,0,627,32626,"",4.46,0.33,0.51,0.00,0.00,1.54,1.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","9211","76","0","1990","A","","Pennington County, South Dakota","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,30,967901,0,0,627,32626,"",4.46,0.33,0.51,0.00,0.00,1.54,1.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","92113","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,22,762079,0,0,664,34509,"",1.76,0.42,0.68,0.00,0.00,1.63,1.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","921130","78","0","1990","A","","Pennington County, South Dakota","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,22,762079,0,0,664,34509,"",1.76,0.42,0.68,0.00,0.00,1.63,1.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","92119","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,8,205822,0,0,522,27141,"",9.39,0.26,0.33,0.00,0.00,1.31,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","921190","78","0","1990","A","","Pennington County, South Dakota","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,8,205822,0,0,522,27141,"",9.39,0.26,0.33,0.00,0.00,1.31,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","922","75","0","1990","A","","Pennington County, South Dakota","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,39,1412575,0,0,692,35989,"",3.76,1.04,1.46,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","9221","76","0","1990","A","","Pennington County, South Dakota","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,39,1412575,0,0,692,35989,"",3.76,1.04,1.46,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","92211","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,19,591091,0,0,606,31525,"",5.12,2.29,3.10,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","922110","78","0","1990","A","","Pennington County, South Dakota","Federal Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,19,591091,0,0,606,31525,"",5.12,2.29,3.10,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","92212","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,21,821484,0,0,771,40072,"",5.55,2.14,2.95,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","922120","78","0","1990","A","","Pennington County, South Dakota","Federal Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,21,821484,0,0,771,40072,"",5.55,2.14,2.95,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","923","75","0","1990","A","","Pennington County, South Dakota","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,20,601686,0,0,574,29836,"",2.28,0.42,0.53,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","9231","76","0","1990","A","","Pennington County, South Dakota","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,20,601686,0,0,574,29836,"",2.28,0.42,0.53,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","92313","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,20,580108,0,0,560,29127,"",1.55,0.74,0.98,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","923130","78","0","1990","A","","Pennington County, South Dakota","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,20,580108,0,0,560,29127,"",1.55,0.74,0.98,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","924","75","0","1990","A","","Pennington County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,133,3015948,0,0,436,22691,"",2.38,3.41,3.63,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","9241","76","0","1990","A","","Pennington County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,133,3015948,0,0,436,22691,"",2.38,3.41,3.63,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","92412","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,133,3015948,0,0,436,22691,"",2.42,3.94,4.39,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","924120","78","0","1990","A","","Pennington County, South Dakota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,133,3015948,0,0,436,22691,"",2.42,3.94,4.39,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","925","75","0","1990","A","","Pennington County, South Dakota","Federal Government","Community and housing program administration","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,43,262490,0,0,117,6069,"",15.52,9.31,2.22,0.00,0.00,0.24,0.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","9251","76","0","1990","A","","Pennington County, South Dakota","Federal Government","Community and housing program administration","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,43,262490,0,0,117,6069,"",15.52,9.31,2.22,0.00,0.00,0.24,0.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","92511","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Administration of housing programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,43,262490,0,0,117,6069,"",19.83,10.96,2.57,0.00,0.00,0.23,0.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","925110","78","0","1990","A","","Pennington County, South Dakota","Federal Government","Administration of housing programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,43,262490,0,0,117,6069,"",19.83,10.96,2.57,0.00,0.00,0.23,0.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","926","75","0","1990","A","","Pennington County, South Dakota","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,94,2549046,0,0,520,27046,"",1.79,1.06,1.43,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","9261","76","0","1990","A","","Pennington County, South Dakota","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,94,2549046,0,0,520,27046,"",1.79,1.06,1.43,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","92611","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,46,742855,0,0,308,16004,"",2.98,0.99,1.18,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","926110","78","0","1990","A","","Pennington County, South Dakota","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,46,742855,0,0,308,16004,"",2.98,0.99,1.18,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","92612","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,34,1292023,0,0,724,37632,"",3.82,2.44,3.00,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","926120","78","0","1990","A","","Pennington County, South Dakota","Federal Government","Transportation program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,34,1292023,0,0,724,37632,"",3.82,2.44,3.00,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","92614","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,5,151288,0,0,592,30770,"",0.78,0.28,0.38,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","926140","78","0","1990","A","","Pennington County, South Dakota","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,5,151288,0,0,592,30770,"",0.78,0.28,0.38,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","92615","77","0","1990","A","","Pennington County, South Dakota","Federal Government","Licensing and regulating commercial sectors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,362880,0,0,813,42277,"",3.94,1.32,1.97,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","926150","78","0","1990","A","","Pennington County, South Dakota","Federal Government","Licensing and regulating commercial sectors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,362880,0,0,813,42277,"",3.94,1.32,1.97,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","928","75","0","1990","A","","Pennington County, South Dakota","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,1013,25347250,0,0,481,25030,"",2.77,3.98,4.62,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","9281","76","0","1990","A","","Pennington County, South Dakota","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,1013,25347250,0,0,481,25030,"",2.77,3.98,4.62,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","92811","77","0","1990","A","","Pennington County, South Dakota","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,1013,25347250,0,0,481,25030,"",2.92,4.10,4.80,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","1","928110","78","0","1990","A","","Pennington County, South Dakota","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,1013,25347250,0,0,481,25030,"",2.92,4.10,4.80,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","2","10","71","0","1990","A","","Pennington County, South Dakota","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",58,1222,26381795,0,0,415,21585,"",2.21,0.90,1.04,0.00,0.00,1.15,1.15,"",7,13.7,36,3.0,921934,3.6,0,0.0,0,0.0,3,0.7,118,0.5
"46103","2","1028","73","0","1990","A","","Pennington County, South Dakota","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",38,286,5399075,0,0,363,18900,"",2.03,0.52,0.49,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","2","92","74","0","1990","A","","Pennington County, South Dakota","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",38,286,5399075,0,0,363,18900,"",2.03,0.52,0.49,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","2","921","75","0","1990","A","","Pennington County, South Dakota","State Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,25,515630,0,0,398,20694,"",3.85,0.30,0.31,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","2","9211","76","0","1990","A","","Pennington County, South Dakota","State Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,25,515630,0,0,398,20694,"",3.85,0.30,0.31,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","2","922","75","0","1990","A","","Pennington County, South Dakota","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,85,1682672,0,0,383,19913,"",1.30,0.49,0.46,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","2","9221","76","0","1990","A","","Pennington County, South Dakota","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,85,1682672,0,0,383,19913,"",1.30,0.49,0.46,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","2","923","75","0","1990","A","","Pennington County, South Dakota","State Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,60,1093356,0,0,348,18122,"",1.63,0.43,0.42,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","2","9231","76","0","1990","A","","Pennington County, South Dakota","State Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,60,1093356,0,0,348,18122,"",1.63,0.43,0.42,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","2","926","75","0","1990","A","","Pennington County, South Dakota","State Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,44,791606,0,0,343,17856,"",2.08,0.42,0.38,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46103","2","9261","76","0","1990","A","","Pennington County, South Dakota","State Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,44,791606,0,0,343,17856,"",2.08,0.42,0.38,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
